TrakPro Version 4.70 ASCII Data File

Model:,P-Trak
Model Number:,8525
Serial Number:,8525-12170007
Test ID:,081
Test Abbreviation:,
Start Date:,06/01/2026
Start Time:,13:46:15
Duration (dd:hh:mm:ss):,0:00:06:51
Time constant (seconds):,0
Log Interval (mm:ss):,00:01
Number of points:,414
Notes:,

Statistics,Channel:,Pt Conc
06/01/2026,13:47:29,10800
06/01/2026,13:47:30,10500
06/01/2026,13:47:31,10400
06/01/2026,13:47:32,10100
06/01/2026,13:47:33,9930
06/01/2026,13:47:34,10100
06/01/2026,13:47:35,10200
06/01/2026,13:47:36,9810
06/01/2026,13:47:37,10100
06/01/2026,13:47:38,9970
06/01/2026,13:47:39,10200
06/01/2026,13:47:40,10100
06/01/2026,13:47:41,10400
06/01/2026,13:47:42,10400
06/01/2026,13:47:43,10300
06/01/2026,13:47:44,10200
06/01/2026,13:47:45,10000
06/01/2026,13:47:46,10000
06/01/2026,13:47:47,10300
06/01/2026,13:47:48,10100
06/01/2026,13:47:49,9810
06/01/2026,13:47:50,9810
06/01/2026,13:47:51,9760
06/01/2026,13:47:52,9720
06/01/2026,13:47:53,9630
06/01/2026,13:47:54,9750
06/01/2026,13:47:55,9830
06/01/2026,13:47:56,10200
06/01/2026,13:47:57,10400
06/01/2026,13:47:58,10900
06/01/2026,13:47:59,11800
06/01/2026,13:48:00,11900
06/01/2026,13:48:01,10600
06/01/2026,13:48:02,10100
06/01/2026,13:48:03,10200
06/01/2026,13:48:04,10600
06/01/2026,13:48:05,11100
06/01/2026,13:48:06,11100
06/01/2026,13:48:07,11000
06/01/2026,13:48:08,10900
06/01/2026,13:48:09,9620
06/01/2026,13:48:10,9350
06/01/2026,13:48:11,10300
06/01/2026,13:48:12,10400
06/01/2026,13:48:13,10100
06/01/2026,13:48:14,9820
06/01/2026,13:48:15,10500
06/01/2026,13:48:16,11200
06/01/2026,13:48:17,11300
06/01/2026,13:48:18,11200
06/01/2026,13:48:19,10800
06/01/2026,13:48:20,10500
06/01/2026,13:48:21,9810
06/01/2026,13:48:22,9770
06/01/2026,13:48:23,8890
06/01/2026,13:48:24,8640
06/01/2026,13:48:25,8470
06/01/2026,13:48:26,8470
06/01/2026,13:48:27,8440
06/01/2026,13:48:28,8380
06/01/2026,13:48:29,8310
06/01/2026,13:48:30,8340
06/01/2026,13:48:31,8550
06/01/2026,13:48:32,8460
06/01/2026,13:48:33,8550
06/01/2026,13:48:34,8480
06/01/2026,13:48:35,8270
06/01/2026,13:48:36,8290
06/01/2026,13:48:37,8290
06/01/2026,13:48:38,8560
06/01/2026,13:48:39,8460
06/01/2026,13:48:40,8260
06/01/2026,13:48:41,8300
06/01/2026,13:48:42,8230
06/01/2026,13:48:43,8190
06/01/2026,13:48:44,8240
06/01/2026,13:48:45,8270
06/01/2026,13:48:46,8240
06/01/2026,13:48:47,8320
06/01/2026,13:48:48,8340
06/01/2026,13:48:49,8560
06/01/2026,13:48:50,8460
06/01/2026,13:48:51,8350
06/01/2026,13:48:52,8230
06/01/2026,13:48:53,11800
06/01/2026,13:48:54,15500
06/01/2026,13:48:55,10600
06/01/2026,13:48:56,9270
06/01/2026,13:48:57,8900
06/01/2026,13:48:58,8590
06/01/2026,13:48:59,8840
06/01/2026,13:49:00,8800
06/01/2026,13:49:01,9240
06/01/2026,13:49:02,10700
06/01/2026,13:49:03,11700
06/01/2026,13:49:04,9340
06/01/2026,13:49:05,8910
06/01/2026,13:49:06,8760
06/01/2026,13:49:07,8820
06/01/2026,13:49:08,8820
06/01/2026,13:49:09,8490
06/01/2026,13:49:10,8560
06/01/2026,13:49:11,8450
06/01/2026,13:49:12,8440
06/01/2026,13:49:13,8460
06/01/2026,13:49:14,8360
06/01/2026,13:49:15,8140
06/01/2026,13:49:16,8090
06/01/2026,13:49:17,8250
06/01/2026,13:49:18,8220
06/01/2026,13:49:19,8160
06/01/2026,13:49:20,8120
06/01/2026,13:49:21,8280
06/01/2026,13:49:22,8100
06/01/2026,13:49:23,8230
06/01/2026,13:49:24,8440
06/01/2026,13:49:25,8540
06/01/2026,13:49:26,8490
06/01/2026,13:49:27,8650
06/01/2026,13:49:28,8560
06/01/2026,13:49:29,8550
06/01/2026,13:49:30,8540
06/01/2026,13:49:31,8550
06/01/2026,13:49:32,8670
06/01/2026,13:49:33,8600
06/01/2026,13:49:34,8650
06/01/2026,13:49:35,8660
06/01/2026,13:49:36,8720
06/01/2026,13:49:37,8790
06/01/2026,13:49:38,9070
06/01/2026,13:49:39,9070
06/01/2026,13:49:40,8790
06/01/2026,13:49:41,8810
06/01/2026,13:49:42,8740
06/01/2026,13:49:43,8860
06/01/2026,13:49:44,8460
06/01/2026,13:49:45,8330
06/01/2026,13:49:46,8290
06/01/2026,13:49:47,8370
06/01/2026,13:49:48,8500
06/01/2026,13:49:49,8530
06/01/2026,13:49:50,8520
06/01/2026,13:49:51,8310
06/01/2026,13:49:52,8340
06/01/2026,13:49:53,8550
06/01/2026,13:49:54,8590
06/01/2026,13:49:55,8410
06/01/2026,13:49:56,8440
06/01/2026,13:49:57,8440
06/01/2026,13:49:58,8360
06/01/2026,13:49:59,8230
06/01/2026,13:50:00,8120
06/01/2026,13:50:01,8060
06/01/2026,13:50:02,8190
06/01/2026,13:50:03,8010
06/01/2026,13:50:04,8090
06/01/2026,13:50:05,8320
06/01/2026,13:50:06,8320
06/01/2026,13:50:07,8440
06/01/2026,13:50:08,8470
06/01/2026,13:50:09,8480
06/01/2026,13:50:10,8410
06/01/2026,13:50:11,8520
06/01/2026,13:50:12,8610
06/01/2026,13:50:13,8540
06/01/2026,13:50:14,8830
06/01/2026,13:50:15,8720
06/01/2026,13:50:16,8760
06/01/2026,13:50:17,8790
06/01/2026,13:50:18,8810
06/01/2026,13:50:19,8770
06/01/2026,13:50:20,8880
06/01/2026,13:50:21,8770
06/01/2026,13:50:22,8510
06/01/2026,13:50:23,8220
06/01/2026,13:50:24,8120
06/01/2026,13:50:25,8200
06/01/2026,13:50:26,8160
06/01/2026,13:50:27,8140
06/01/2026,13:50:28,8160
06/01/2026,13:50:29,8290
06/01/2026,13:50:30,8200
06/01/2026,13:50:31,8050
06/01/2026,13:50:32,7970
06/01/2026,13:50:33,8010
06/01/2026,13:50:34,7760
06/01/2026,13:50:35,7920
06/01/2026,13:50:36,7910
06/01/2026,13:50:37,8100
06/01/2026,13:50:38,7870
06/01/2026,13:50:39,7800
06/01/2026,13:50:40,8060
06/01/2026,13:50:41,8310
06/01/2026,13:50:42,9130
06/01/2026,13:50:43,9460
06/01/2026,13:50:44,9640
06/01/2026,13:50:45,10100
06/01/2026,13:50:46,10200
06/01/2026,13:50:47,10100
06/01/2026,13:50:48,10200
06/01/2026,13:50:49,10100
06/01/2026,13:50:50,9620
06/01/2026,13:50:51,8710
06/01/2026,13:50:52,8220
06/01/2026,13:50:53,8120
06/01/2026,13:50:54,8060
06/01/2026,13:50:55,8090
06/01/2026,13:50:56,8180
06/01/2026,13:50:57,8410
06/01/2026,13:50:58,8410
06/01/2026,13:50:59,8350
06/01/2026,13:51:00,8380
06/01/2026,13:51:01,8390
06/01/2026,13:51:02,8280
06/01/2026,13:51:03,8340
06/01/2026,13:51:04,8300
06/01/2026,13:51:05,8360
06/01/2026,13:51:06,8450
06/01/2026,13:51:07,8410
06/01/2026,13:51:08,8370
06/01/2026,13:51:09,8220
06/01/2026,13:51:10,8240
06/01/2026,13:51:11,8210
06/01/2026,13:51:12,8170
06/01/2026,13:51:13,8250
06/01/2026,13:51:14,8230
06/01/2026,13:51:15,8530
06/01/2026,13:51:16,9560
06/01/2026,13:51:17,9290
06/01/2026,13:51:18,9220
06/01/2026,13:51:19,8830
06/01/2026,13:51:20,8800
06/01/2026,13:51:21,9090
06/01/2026,13:51:22,9360
06/01/2026,13:51:23,9240
06/01/2026,13:51:24,9120
06/01/2026,13:51:25,9050
06/01/2026,13:51:26,9060
06/01/2026,13:51:27,9070
06/01/2026,13:51:28,9030
06/01/2026,13:51:29,8780
06/01/2026,13:51:30,8680
06/01/2026,13:51:31,8750
06/01/2026,13:51:32,8670
06/01/2026,13:51:33,8800
06/01/2026,13:51:34,8650
06/01/2026,13:51:35,8450
06/01/2026,13:51:36,8350
06/01/2026,13:51:37,8300
06/01/2026,13:51:38,8290
06/01/2026,13:51:39,8400
06/01/2026,13:51:40,8240
06/01/2026,13:51:41,8240
06/01/2026,13:51:42,8210
06/01/2026,13:51:43,8230
06/01/2026,13:51:44,8250
06/01/2026,13:51:45,8140
06/01/2026,13:51:46,8330
06/01/2026,13:51:47,8390
06/01/2026,13:51:48,8930
06/01/2026,13:51:49,8540
06/01/2026,13:51:50,8540
06/01/2026,13:51:51,8920
06/01/2026,13:51:52,9510
06/01/2026,13:51:53,9720
06/01/2026,13:51:54,9290
06/01/2026,13:51:55,9840
06/01/2026,13:51:56,10500
06/01/2026,13:51:57,11400
06/01/2026,13:51:58,14000
06/01/2026,13:51:59,15100
06/01/2026,13:52:00,14900
06/01/2026,13:52:01,14600
06/01/2026,13:52:02,10500
06/01/2026,13:52:03,9080
06/01/2026,13:52:04,8270
06/01/2026,13:52:05,8150
06/01/2026,13:52:06,8120
06/01/2026,13:52:07,8090
06/01/2026,13:52:08,8150
06/01/2026,13:52:09,8340
06/01/2026,13:52:10,8600
06/01/2026,13:52:11,8650
06/01/2026,13:52:12,8900
06/01/2026,13:52:13,8490
06/01/2026,13:52:14,8510
06/01/2026,13:52:15,8730
06/01/2026,13:52:16,9230
06/01/2026,13:52:17,9320
06/01/2026,13:52:18,9440
06/01/2026,13:52:19,8880
06/01/2026,13:52:20,8540
06/01/2026,13:52:21,8470
06/01/2026,13:52:22,8460
06/01/2026,13:52:23,8420
06/01/2026,13:52:24,8360
06/01/2026,13:52:25,8390
06/01/2026,13:52:26,8260
06/01/2026,13:52:27,8390
06/01/2026,13:52:28,8450
06/01/2026,13:52:29,8220
06/01/2026,13:52:30,8390
06/01/2026,13:52:31,8390
06/01/2026,13:52:32,8360
06/01/2026,13:52:33,8490
06/01/2026,13:52:34,8420
06/01/2026,13:52:35,8500
06/01/2026,13:52:36,8560
06/01/2026,13:52:37,8280
06/01/2026,13:52:38,8430
06/01/2026,13:52:39,8380
06/01/2026,13:52:40,8390
06/01/2026,13:52:41,8250
06/01/2026,13:52:42,8330
06/01/2026,13:52:43,8300
06/01/2026,13:52:44,8310
06/01/2026,13:52:45,8070
06/01/2026,13:52:46,8310
06/01/2026,13:52:47,8350
06/01/2026,13:52:48,8740
06/01/2026,13:52:49,8590
06/01/2026,13:52:50,8620
06/01/2026,13:52:51,8470
06/01/2026,13:52:52,8390
06/01/2026,13:52:53,8450
06/01/2026,13:52:54,8410
06/01/2026,13:52:55,8380
06/01/2026,13:52:56,8420
06/01/2026,13:52:57,8420
06/01/2026,13:52:58,8310
06/01/2026,13:52:59,8290
06/01/2026,13:53:00,8430
06/01/2026,13:53:01,8340
06/01/2026,13:53:02,8220
06/01/2026,13:53:03,8080
06/01/2026,13:53:04,8230
06/01/2026,13:53:05,8120
06/01/2026,13:53:06,8230
06/01/2026,13:53:07,8220
06/01/2026,13:53:08,8340
06/01/2026,13:53:09,8550
